Pattern,Tag,response
Comment s'inscrire à l'UIC ?,Admissions,"Pour vous inscrire à l'UIC, créez un dossier en ligne sur le portail admissions, déposez vos relevés de notes, votre CIN/passeport et votre CV. Un entretien peut être requis selon le programme."
Quels sont les documents nécessaires pour l'inscription ?,Admissions,"Pièces requises : formulaire en ligne, relevés de notes, diplôme le plus élevé, CIN/passeport, photo, CV. Certains programmes demandent une lettre de motivation."
Date limite de candidature licence ?,Admissions,La date limite pour les candidatures licence est généralement fin juillet. Vérifiez le calendrier officiel chaque année.
Frais d'inscription UIC ?,Frais,Frais d'inscription non remboursables d'environ 1 000–2 000 MAD selon le programme. Les frais de scolarité varient par filière.
Quelles filières propose l'UIC ?,Programmes,"UIC propose : Ingénierie, Big Data & IA, Management, Santé, Architecture, Droit, et d'autres. Consultez le catalogue des programmes pour les détails."
Calendrier académique UIC ?,Calendrier,Le calendrier comprend deux semestres (automne et printemps) avec périodes d'examens et rattrapages. Les dates exactes sont publiées chaque année.
Où déposer les dossiers de candidature ?,Admissions,"Le dépôt se fait sur le portail admissions en ligne. En cas de souci, contactez le service Admissions par email ou au guichet du campus."
Bourses disponibles à l'UIC ?,Bourses,Des bourses partielles sont disponibles selon le mérite académique et/ou la situation sociale. Les dossiers sont étudiés par commission.
Conditions d'admission en Master ?,Admissions,"Diplôme Bac+3 ou équivalent, prérequis de filière, dossier académique solide et, selon le cas, entretien et/ou test."
Est-ce que l'UIC accepte les étudiants internationaux ?,International,"Oui. Les étudiants internationaux sont les bienvenus. Un service d'accompagnement est disponible pour visa, logement et intégration."
كيف أسجّل في جامعة UIC؟,Admissions,للتسجيل في UIC، أنشئ حسابًا على بوابة القبول، وارفع كشوف النقط، بطاقة الهوية/جواز السفر والسيرة الذاتية. قد يُطلب مقابلة حسب البرنامج.
ما هي وثائق التسجيل المطلوبة؟,Admissions,الوثائق: استمارة إلكترونية، كشوف النقط، أعلى شهادة محصل عليها، بطاقة الهوية/جواز السفر، صورة شخصية، سيرة ذاتية. بعض البرامج تطلب رسالة دافع.
ما آخر أجل للتسجيل في الإجازة؟,Admissions,عادة يكون آخر أجل للتقديم لسلك الإجازة نهاية يوليوز. يُرجى التحقق من التقويم الرسمي كل سنة.
كم هي رسوم التسجيل في UIC؟,Frais,رسوم تسجيل غير مسترجعة حوالي 1000–2000 درهم مغربي حسب البرنامج. رسوم الدراسة تختلف باختلاف التخصص.
ما هي التخصصات المتاحة في UIC؟,Programmes,توفر UIC تخصصات: الهندسة، البيانات الضخمة والذكاء الاصطناعي، التسيير، الصحة، الهندسة المعمارية، القانون وغيرها. راجع دليل البرامج.
أين أجد التقويم الجامعي؟,Calendrier,التقويم يتضمن فصلين (الخريف والربيع) مع فترات امتحانات واستدراك. تواريخ محددة تُنشر كل سنة.
أين أقدّم ملف الترشيح؟,Admissions,يتم الإيداع عبر بوابة القبول الإلكترونية. عند وجود صعوبات، تواصل مع مصلحة القبول عبر البريد أو شباك الحرم الجامعي.
هل توجد منح دراسية؟,Bourses,نعم، توجد منح جزئية بناءً على التفوق الأكاديمي و/أو الوضع الاجتماعي. الملفات تُعرض على لجنة مختصة.
شروط الالتحاق بسلك الماستر؟,Admissions,شهادة باك+3 أو ما يعادلها، متطلبات مسبقة حسب التخصص، ملف أكاديمي جيد، وقد يُطلب اختبار و/أو مقابلة.
هل تقبل UIC الطلبة الأجانب؟,International,نعم. نرحب بالطلبة الدوليين. توجد مصلحة مرافقة لتأشيرة الدخول، السكن والاندماج.
Logement étudiant UIC ?,Campus,L'université accompagne les étudiants pour trouver des résidences proches du campus ou des colocations. Contactez le Bureau Vie Étudiante.
Bibliothèque UIC horaires ?,Bibliothèque,"La bibliothèque est ouverte du lundi au vendredi, 8h30–18h30 (horaires variables en période d'examens)."
Carte étudiante comment l'obtenir ?,Campus,"Après l'inscription administrative, la carte étudiante est délivrée par le service scolarité sous 5 à 10 jours."
Wi‑Fi campus UIC ?,IT,Un réseau Wi‑Fi couvre le campus. Identifiants remis lors de l'inscription. Support via helpdesk IT.
Accès Moodle UIC ?,IT,"Moodle est accessible avec les identifiants UIC. En cas d'oubli de mot de passe, utilisez la procédure 'Mot de passe oublié'."
Restaurations et cafétéria ?,Campus,Plusieurs points de restauration sont disponibles au campus avec menus variés et tarifs étudiants.
Sports et clubs ?,Vie Étudiante,"Des clubs (tech, sport, art, débat) et infrastructures sportives sont disponibles. Inscription via Vie Étudiante."
